type,name
physpreset,#hash_5aab125f983dd8b6
physpreset,#default
physconstraints,#default
destructibledef,#defaultdestructible
xanim,#void
xanim,#viewmodel_default_idle
xanim,#viewmodel_default_fire
xanim,#viewmodel_default_putaway
xanim,#viewmodel_default_pullout
xanim,#viewmodel_default_ads_down
xanim,#viewmodel_default_ads_up
xmodel,#vol_decal_cube
xmodel,#fx_rifle_shell
xmodel,#defaultvehicle
xmodel,#fx_axis_createfx
xmodel,#void
xmodel,#viewmodel_default
xmodel,#defaultactor
xmodel,#defaultweapon
xmodel,#tag_origin
xmodel,#fx_rifle_shell_blur
xcollision,#hash_cdb7a9417da402e
xcollision,#fx_rifle_shell
xcollision,#fx_rifle_shell_blur
xskeleton,#hash_42e1d18544f62f3
xskeleton,#vol_decal_cube
xskeleton,#fx_rifle_shell
xskeleton,#defaultvehicle
xskeleton,#fx_axis_createfx
xskeleton,#void
xskeleton,#viewmodel_default
xskeleton,#defaultactor
xskeleton,#defaultweapon
xskeleton,#tag_origin
xskeleton,#fx_rifle_shell_blur
xmodelmesh,#hash_6f7698da258b9fb
xmodelmesh,#hash_d3f922ab70544be
xmodelmesh,#hash_f0e7634da88ee5f
xmodelmesh,#hash_11a4de2856e5661b
xmodelmesh,#hash_272498b734548ca9
xmodelmesh,#defaultactor_s1_geo_bs_ic2it7av7bh5mevyxiq2lmvp56
xmodelmesh,#defaultactor_s1_geo_bs_ggo4mrtos7jojp52726amy3q7r
xmodelmesh,#hash_35f60b3644579b0d
xmodelmesh,#hash_43e5219292c913d0
xmodelmesh,#defaultactor_s1_geo_bs_mc7jyquvnwne3oixd4oxj2kq6q
xmodelmesh,#$defaultmesh
xmodelmesh,#hash_75c73aa40f53c5ea
xmodelmesh,#hash_78ae6e3ad6d9120e
xmodelmesh,#defaultactor_s1_geo_bs_yj2ege5ynegpjbtujnygkm5556
xmodelmesh,#hash_7b6cf5b6354b3754
xmodelmesh,#hash_7b9d300e3e04cbf8
xmodelmesh,#hash_7e5d14881777cbbc
material,#mc/hud_outline_model_orange_calpha
material,#hash_2f0957cb8f41461
material,#postfx_keyline_depth
material,#hash_3a92fff6c4a64b1
material,#ssao_denoiser_spatial_temporal_1x_2
material,#ssao_denoiser_spatial_temporal_1x_1
material,#scene_blur_downsample
material,#mc/hud_outline_model_orange_alpha
material,#smaa_temporal_supersampling_upsample_2x
material,#smaa_temporal_supersampling_upsample_4x
material,#postfx_speedblur
material,#bloom_apply_lut
material,#hash_48975bcf5e773c0
material,#hash_4de47bef3490ded
material,#postfx_catseye
material,#postfx_aberration
material,#feedbackblend
material,#mblur_tile_neighbor
material,#adsblur_update
material,#postfx_keyline_zombies_friendly
material,#lens_distortion_debug
material,#resample_dfe_color_circle
material,#hash_6f16cea7f928dcd
